Number,Variable,Data Type,Length,Path,File,Agent Role,Model Field,Description
1,Y_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Net disposable income of active worker
2,D_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Deposits held by active worker
3,K_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Capital stock owned by active worker
4,w_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Wage rate (0 if unemployed)
5,O_h,Integer,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Occupation/employer ID (0 if unemployed)
6,C_d_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Desired consumption budget
7,I_d_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Desired investment budget (housing)
8,C_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Realized consumption expenditure
9,I_h,Float,4118,/src/model_init/,agents.jl,Household (Worker - Active),model.w_act,Realized investment expenditure (housing)
