Number,Variable,Data Type,Length,Path,File,Agent Role,Model Field,Description
1,Y_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Net disposable income of inactive worker
2,D_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Deposits held by inactive worker
3,K_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Capital stock owned by inactive worker
4,w_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Wage rate (always 0 for inactive workers)
5,O_h,Integer,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Occupation/employer ID (always -1 for inactive workers)
6,C_d_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Desired consumption budget
7,I_d_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Desired investment budget (housing)
8,C_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Realized consumption expenditure
9,I_h,Float,4130,/src/model_init/,agents.jl,Household (Worker - Inactive),model.w_inact,Realized investment expenditure (housing)
